Clave del municipio,Municipio,Población total 2020
1,Aconchi,"2,563"
2,Agua Prieta,"91,929"
3,Alamos,"24,976"
4,Altar,"9,492"
5,Arivechi,"1,177"
6,Arizpe,"2,788"
7,Atil,626
8,Bacadéhuachi,979
9,Bacanora,759
10,Bacerac,"1,221"
11,Bacoachi,"1,475"
12,Bácum,"23,151"
13,Banámichi,"1,825"
14,Baviácora,"3,191"
15,Bavispe,"1,169"
16,Benjamín Hill,"4,988"
17,Caborca,"89,122"
18,Cajeme,"436,484"
19,Cananea,"39,451"
20,Carbó,"4,946"
21,La Colorada,"1,848"
22,Cucurpe,863
23,Cumpas,"5,829"
24,Divisaderos,753
25,Empalme,"51,431"
26,Etchojoa,"61,309"
27,Fronteras,"9,041"
28,Granados,"1,009"
29,Guaymas,"156,863"
30,Hermosillo,"936,263"
31,Huachinera,"1,186"
32,Huásabas,888
33,Huatabampo,"77,682"
34,Huépac,943
35,Imuris,"12,536"
36,Magdalena,"33,049"
37,Mazatán,"1,101"
38,Moctezuma,"5,173"
39,Naco,"5,774"
40,Nácori Chico,"1,531"
41,Nacozari de García,"14,369"
42,Navojoa,"164,387"
43,Nogales,"264,782"
44,Ónavas,365
45,Opodepe,"2,438"
46,Oquitoa,496
47,Pitiquito,"9,122"
48,Puerto Peñasco,"62,689"
49,Quiriego,"3,09"
50,Rayón,"1,496"
51,Rosario,"4,83"
52,Sahuaripa,"5,257"
53,San Felipe de Jesús,369
54,San Javier,537
55,San Luis Río Colorado,"199,021"
56,San Miguel de Horcasitas,"10,729"
57,San Pedro de la Cueva,"1,458"
58,Santa Ana,"16,203"
59,Santa Cruz,"1,835"
60,Sáric,"2,058"
61,Soyopa,"1,368"
62,Suaqui Grande,"1,114"
63,Tepache,"1,178"
64,Trincheras,"1,381"
65,Tubutama,"1,473"
66,Ures,"8,548"
67,Villa Hidalgo,"1,429"
68,Villa Pesqueira,"1,043"
69,Yécora,"4,793"
70,General Plutarco Elías Calles,"13,627"
71,Benito Juárez,"21,692"
72,San Ignacio Río Muerto,"14,279"
